comp|out|in|min|date|1>3000/null|1>1500/null|1>500/null|1>150/null|1<150/null|2>null/12|2>null/6|2>null/2|2>null/0,6|2<null/0,6
ЖелдорЭксп|Москва|Уссурийск|1090|1|34,18|34,88|35,59|36,69|39,45|9570|9766|9965|10273|11046
ЖелдорЭксп|Москва|Усть-Илимск|1090|1|31,19|31,83|32,48|33,48|36|8733|8912|9094|9374|10080
ЖелдорЭксп|Москва|Усть-Каменогорск**|1350|1|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Усть-Кут|1190|1|41,89|42,55|43,5|44,74|47,25|11729|11914|12180|12527|13230
ЖелдорЭксп|Москва|Усть-Лабинск|890|1|16,76|17,11|17,46|18|19,35|4693|4791|4889|5040|5418
ЖелдорЭксп|Москва|Уфа|490|1|13,47|13,75|14,03|14,46|15,55|3772|3850|3928|4049|4354
ЖелдорЭксп|Москва|Ухта|690|1|16,46|16,8|17,14|17,67|19|4609|4704|4799|4948|5320
ЖелдорЭксп|Москва|Феодосия|890|1|24,69|24,93|25,18|25,57|26,55|6913|6980|7050|7160|7434
ЖелдорЭксп|Москва|Фролово|790|1|16,76|17,11|17,46|18|19,35|4693|4791|4889|5040|5418
ЖелдорЭксп|Москва|Хабаровск|1090|1|33,79|34,48|35,18|36,27|39|9461|9654|9850|10156|10920
ЖелдорЭксп|Москва|Ханты-Мансийск|790|1|21,66|22,1|22,55|23,25|25|6065|6188|6314|6510|7000
ЖелдорЭксп|Москва|Хасавюрт|890|1|19,62|20,02|20,43|21,06|22,65|5494|5606|5720|5897|6342
ЖелдорЭксп|Москва|Чайковский|790|1|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Чебоксары|490|1|10,79|11,01|11,23|11,58|12,45|3021|3083|3144|3242|3486
ЖелдорЭксп|Москва|Челябинск|590|4|13,56|13,84|14,12|14,55|15,65|3797|3875|3954|4074|4382
ЖелдорЭксп|Москва|Черемхово|990|4|29,93|30,54|31,17|32,13|34,55|8380|8551|8728|8996|9674
ЖелдорЭксп|Москва|Череповец|490|4|9,53|9,72|9,92|10,23|11|2668|2722|2778|2864|3080
ЖелдорЭксп|Москва|Чита|890|4|29,93|30,54|31,17|32,13|34,55|8380|8551|8728|8996|9674
ЖелдорЭксп|Москва|Чусовой|690|4|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Шарья|790|4|14,22|16,33|17,26|18,89|21,63|3982|4572|4833|5289|6056
ЖелдорЭксп|Москва|Шахты|490|4|12,13|12,38|12,76|13,02|14|3396|3466|3573|3646|3920
ЖелдорЭксп|Москва|Шымкент|1750|4|45,01|46,09|48,46|50,24|50,58|12603|12905|13569|14067|14162
ЖелдорЭксп|Москва|Экибастуз|1350|4|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Элиста|690|4|16,76|17,11|17,46|18|19,35|4693|4791|4889|5040|5418
ЖелдорЭксп|Москва|Энгельс|490|4|12,13|12,38|12,63|13,02|14|3396|3466|3536|3646|3920
ЖелдорЭксп|Москва|Югорск|890|4|19,07|19,26|19,86|20,9|22|5340|5393|5561|5852|6160
ЖелдорЭксп|Москва|Южно-Сахалинск|990|4|33,6|34,64|35,71|36,81|37,95|10752|11085|11427|11779|12144
ЖелдорЭксп|Москва|Якутск|1790|4|52,75|53,83|54,93|56,05|59|16880|17226|17578|17936|18880
ЖелдорЭксп|Москва|Ялта|790|4|24,69|24,93|25,18|25,57|26,55|6913|6980|7050|7160|7434
ЖелдорЭксп|Москва|Ярославль|490|4|8,62|8,8|8,98|9,25|9,95|2414|2464|2514|2590|2786
